127.0.0.1 - - [28/Nov/2023:15:45:15 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Nov/2023:15:45:18 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2344
0:0:0:0:0:0:0:1 - - [28/Nov/2023:15:45:19 +0900] "GET /BBS/Comp1.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2023:15:45:19 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Nov/2023:15:53:14 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2344
0:0:0:0:0:0:0:1 - - [28/Nov/2023:15:53:14 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:34:37 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2344
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:34:37 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
192.168.37.79 - - [28/Nov/2023:17:34:44 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2344
192.168.37.79 - - [28/Nov/2023:17:34:44 +0900] "GET /BBS/symbol.gif HTTP/1.1" 304 -
192.168.37.79 - - [28/Nov/2023:17:34:44 +0900] "GET /BBS/Comp1.mp4 HTTP/1.1" 304 -
192.168.37.79 - - [28/Nov/2023:17:34:44 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
192.168.37.79 - - [28/Nov/2023:17:34:57 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3432
192.168.37.79 - - [28/Nov/2023:17:35:00 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3432
192.168.37.79 - - [28/Nov/2023:17:35:23 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 410
192.168.37.79 - - [28/Nov/2023:17:35:23 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2344
192.168.37.79 - - [28/Nov/2023:17:35:41 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2611
192.168.37.79 - - [28/Nov/2023:17:35:50 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 572
192.168.37.79 - - [28/Nov/2023:17:35:50 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2262
192.168.37.79 - - [28/Nov/2023:17:35:55 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4679
192.168.37.79 - - [28/Nov/2023:17:35:55 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 141414
192.168.37.79 - - [28/Nov/2023:17:36:05 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2262
192.168.37.79 - - [28/Nov/2023:17:36:06 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 231
192.168.37.79 - - [28/Nov/2023:17:36:07 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2344
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:43:28 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2344
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:43:29 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
192.168.37.55 - - [28/Nov/2023:17:43:45 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4810
192.168.37.55 - - [28/Nov/2023:17:43:45 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 141414
192.168.37.55 - - [28/Nov/2023:17:43:45 +0900] "GET /BBS/symbol.gif HTTP/1.1" 200 78129
192.168.37.55 - - [28/Nov/2023:17:43:45 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 66732
192.168.37.55 - - [28/Nov/2023:17:43:46 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
192.168.37.55 - - [28/Nov/2023:17:43:53 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4810
192.168.37.55 - - [28/Nov/2023:17:43:53 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 141414
192.168.37.55 - - [28/Nov/2023:17:43:53 +0900] "GET /BBS/symbol.gif HTTP/1.1" 200 78129
192.168.37.55 - - [28/Nov/2023:17:43:53 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 66732
192.168.37.55 - - [28/Nov/2023:17:43:53 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
192.168.37.79 - - [28/Nov/2023:17:44:01 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2344
192.168.37.79 - - [28/Nov/2023:17:44:01 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 200 117150
192.168.37.79 - - [28/Nov/2023:17:44:01 +0900] "GET /BBS/symbol.gif HTTP/1.1" 200 78129
